date,close_price_PAXGUSD,return_PAXGUSD,signal_PAXGUSD,position_PAXGUSD,signal_return_PAXGUSD,signal_basket_return,cum_signal_basket_return,cum_return_PAXGUSD,cum_signal_return_PAXGUSD
2023-11-06 00:00:00,1956.674683,-0.00150605,1,1,-0.00150605,-0.00150605,0.031328558,0.290247926,0.031328558
2023-11-07 00:00:00,1947.750854,-0.004560711,1,1,-0.004560711,-0.004560711,0.026624967,0.284363478,0.026624967
2023-11-08 00:00:00,1931.407959,-0.00839065,1,1,-0.00839065,-0.00839065,0.018010916,0.273586834,0.018010916
2023-11-09 00:00:00,1945.79895,0.007451037,1,1,0.007451037,0.007451037,0.025596152,0.283076376,0.025596152
2023-11-10 00:00:00,1924.372437,-0.011011679,0,0.5,-0.011011679,-0.011011679,0.014302617,0.26894755,0.014302617
2023-11-11 00:00:00,1920.579102,-0.001971206,0,0.5,-0.000985603,-0.000985603,0.013302917,0.266446193,0.013302917
2023-11-12 00:00:00,1918.841553,-0.0009047,0,0.5,-0.00045235,-0.00045235,0.012844549,0.265300439,0.012844549
2023-11-13 00:00:00,1930.840454,0.006253201,1,1,0.0031266,0.0031266,0.016011309,0.273212616,0.016011309
2023-11-14 00:00:00,1941.369873,0.005453283,1,1,0.005453283,0.005453283,0.021551906,0.280155805,0.021551906
2023-11-15 00:00:00,1943.261475,0.000974364,1,1,0.000974364,0.000974364,0.02254727,0.281403143,0.02254727
2023-11-16 00:00:00,1959.096313,0.008148589,1,1,0.008148589,0.008148589,0.030879587,0.29184477,0.030879587
2023-11-17 00:00:00,1967.799194,0.004442294,1,1,0.004442294,0.004442294,0.035459057,0.297583524,0.035459057
2023-11-18 00:00:00,1962.080322,-0.002906227,1,1,-0.002906227,-0.002906227,0.032449777,0.293812451,0.032449777
2023-11-19 00:00:00,1962.241089,8.19368E-05,0,0.5,8.19368E-05,8.19368E-05,0.032534373,0.293918462,0.032534373
2023-11-20 00:00:00,1960.438965,-0.000918401,0,0.5,-0.0004592,-0.0004592,0.032060233,0.292730126,0.032060233
2023-11-21 00:00:00,1978.932007,0.009433113,1,1,0.004716556,0.004716556,0.036928003,0.304924595,0.036928003
2023-11-22 00:00:00,1981.665771,0.001381434,1,1,0.001381434,0.001381434,0.038360451,0.306727263,0.038360451
2023-11-23 00:00:00,1979.655762,-0.001014303,1,1,-0.001014303,-0.001014303,0.037307239,0.305401845,0.037307239
2023-11-24 00:00:00,1985.716553,0.003061538,1,1,0.003061538,0.003061538,0.040482994,0.309398382,0.040482994
